Id	Strong	Transliteration	Gloss	Definition	Category	Domain	References	spell-N	spell-n	spell-E	spell-G	spell-R	spell-T	spell-K	pc-N	pc-n	pc-E	pc-G	pc-R	pc-T	pc-K
תּוֹשָׁב	H8453a	tôšāb	sojourner	sojourner	BE	people; association	001023004 002012045 003022010 003025006 003025023 003025035 003025040 003025045 003025047 003025047 004035015 011017001 013029015 019039012	foreigner	worker	sojourner	foreigner	sojourner	foreigner	sojourner	31	31	54	15	69	23	54
תּוּשִׁיָּה	H8454	tûšiyyāh	sound wisdom	sound wisdom	AT	wisdom, understanding	018005012 018006013 018011006 018012016 018026003 020002007 020003021 020008014 020018001 023028029 033006009	sound judgment	sound judgment	sound wisdom	your wisdom	sound wisdom	sound wisdom	sound wisdom	18	27	45	9	36	18	27
תַּזְנוּת	H8457	taznût	fornication	fornication	AT	morals and ethics	026016015 026016020 026016022 026016025 026016025 026016026 026016029 026016033 026016034 026016036 026023007 026023008 026023008 026023011 026023014 026023017 026023018 026023019 026023029 026023035 026023043	prostitution	prostitution	abomination	prostitution	abominations	prostitution	fornication	53	53	5	16	5	53	11
תַּחְבּוּלָה	H8458	taḥbûlāh	guidance	guidance	AT	wisdom, understanding	018037012 018037012 020001005 020011014 020012005 020020018 020024006	guidance	guidance	guidance	guidance	guidance	guidance	good advice	67	67	83	33	67	67	17
תֹּחוּ	H8459	toḥû	Tohu	son of Zuph; ancestor of Samuel; tribe of Levi	PN	person	009001001	Tohu	Tohu	Tohu	Tohu	Tohu	Tohu	Tohu	100	100	100	100	100	100	100
תַּחְכְּמֹנִי	H8461	taḥkǝmoniy	Tahkemonite	inhabitant of Tachemon	PN	group	010023008	Tahkemonite	Tahkemonite	Tahchemonite	Tachemon	Tah-chemonite	Tahkemonite	Tachmonite	100	100	100	100	100	100	100
תַּחְמָס	H8464	taḥmās	short-eared owl	identification uncertain; perhaps: type of owl, possibly Asio flammeus - short-eared owl, a medium-sized brown owl; unclean, not to be eaten	FA	birds	003011016 005014015	horned owl	horned owl		birds eagles owls		short-eared owl		100	100	0	50	0	50	0
תַּחַן	H8465	taḥan	Tahan	son of Telah; ancestor of Joshua; tribe of Ephraim	PN	person	004026035 013007025	Tahan	Tahan	Tahan	Tahan	Tahan	Tahan	Tahan	100	100	100	100	100	100	100
תְּחִנָּה-1	H8467	tǝḥinnāh-1	supplication	effort to try to win a favorable attitude from someone else by approaching that person in a very humble way	AT		006011020 011008028 011008030 011008038 011008045 011008049 011008052 011008052 011008054 011009003 014006019 014006029 014006035 014006039 014033013 015009008 019006009 019055001 019119170 024036007 024037020 024038026 024042002 024042009 027009020	supplication	supplication	affliction	destruction	supplication	position	supplication	8	8	8	4	79	4	88
תְּחִנָּה-2	H8468	tǝḥinnāh-2	Tehinnah	son of Eshton; founder of Ir-Nahash; tribe of Judah	PN	person	013004012	Tehinnah	Tehinnah	Tehinnah	Tehinnah	Tehinnah	Tehinnah	Tehinnah	100	100	100	100	100	100	100
תַּחֲנוּן	H8469	taḥănûn	supplication	effort to try to win a favorable attitude from someone else by approaching that person in a very humble way	AT		014006021 018041003 019028002 019028006 019031022 019086006 019116001 019130002 019140006 019143001 020018023 024003021 024031009 027009003 027009017 027009018 027009023 038012010	supplication	supplication	desolations	spirit of	supplications	supplications	supplications	6	6	6	6	67	11	94
תַּחֲנִי	H8470	taḥăniy	Tahanite	descendant of Tahan; tribe of Ephraim	PN	group	004026035	Tahanite	Tahanite	Tahanites	Tahan	Tahanites	Tahanites	Tahanites	100	100	100	100	100	100	100
תַּחְפַּנְחֵס	H8471	taḥpanḥēs	Tahpanhes, Tehaphnehes	town; Egypt	PN	settlement	024002016 024043007 024043008 024043009 024044001 024046014 026030018	Tahpanhes	Tahpanhes	Tahpanhes	Tahpanhes	Tahpanhes	Tahpanhes	Tahpanhes	100	100	86	71	86	100	71
תַּחְפְּנֵיס	H8472	taḥpǝnês	Tahpenes	queen of Egypt; time of king Solomon	PN	person	011011019 011011020 011011020	Tahpenes	Tahpenes	Tahpenes	Tahpenes	Tahpenes	Tahpenes	Tahpenes	100	100	100	50	100	50	100
תַּחְרֵעַ	H8475	taḥrēaʿ	Tahrea	son of Micah; tribe of Benjamin	PN	person	013009041	Tahrea	Tahrea	Tahrea	Tarea	Tahre-a	Tahrea	Tahrea	100	100	100	100	100	100	100
תַּחַשׁ-1	H8476	taḥaš-1	dugong	large water mammal about 3 m long; has flippers; soft fur; Dugong dugong; swims slowly and feeds on underwater weeds; lives in small herds of twelve to fifteen animals; skins make high-quality leather	FA	mammals	002025005 002026014 002035007 002035023 002036019 002039034 004004006 004004008 004004010 004004011 004004012 004004014 004004025 026016010					upon		upon	0	0	0	0	14	0	36
תַּחַשׁ-2	H8477	taḥaš-2	Tahash	son of Nahor	PN	person	001022024	Tahash	Tahash	Tahash	Tahash	Tahash	Tahash	Thahash	100	100	100	100	100	100	100
תַּחַת-1	H8480	taḥat-1	Tahath	location along route of exodus	PN	locale	004033026 004033027	Tahath	Tahath	Tahath	Tahath	Tahath	Tahath	Tahath	100	100	100	100	100	100	100
תַּחַת-2	H8480	taḥat-2	Tahath	son of Assir; descendant of Kohath; ancestor of Heman; tribe of Levi	PN	person	013006024 013006037	Tahath	Tahath	Tahath	Tahath	Tahath	Tahath	Tahath	100	100	100	100	100	100	100
תַּחַת-3	H8480	taḥat-3	Tahath	son of Bered; tribe of Ephraim	PN	person	013007020	Tahath	Tahath	Tahath	Tahath	Tahath	Tahath	Tahath	100	100	100	100	100	100	100
תַּחַת-4	H8480	taḥat-4	Tahath	son of Eleadah; tribe of Ephraim	PN	person	013007020	Tahath	Tahath	Tahath	Tahath	Tahath	Tahath	Tahath	100	100	100	100	100	100	100
תִּילוֹן	H8436	tîlôn	Tilon	son of Shimon; tribe of Judah	PN	person	013004020	Tilon	Tilon	Tilon	Tilon	Tilon	Tilon	Tilon	100	100	100	100	100	100	100
תֵּימָא	H8485	têmāʾ	Tema	son of Ishmael; people, land	PN	person; area	001025015 013001030 018006019 023021014 024025023	Tema	Tema	Tema	Tema	Tema	Tema	Tema	100	100	100	100	100	100	100
תֵּימָן-1	H8487	têmān-1	Teman	son of Eliphaz, son of Esau; people, land	PN	person	001036011 001036015 013001036 024049007 024049020 026025013 030001012 031001009 035003003	Teman	Teman	Teman	Teman	Teman	Teman	Teman	100	100	100	78	100	100	100
תֵּימָן-2	H8487	têmān-2	Teman	chief of Edom	PN	person	001036042 013001053	Teman	Teman	Teman	Teman	Teman	Teman	Teman	100	100	100	100	100	100	100
תֵּימָנִי	H8489	têmāniy	Temanite	descendant or inhabitant of Teman	PN	group	001036034 013001045 018002011 018004001 018015001 018022001 018042007 018042009	Temanite	Temanite	Temanite	Teman	Temanite	Temanite	Temanite	75	75	75	38	75	75	75
תֵּימְנִי	H8488	têmǝniy	Temeni	son of Ashhur; tribe of Judah	PN	person	013004006	Temeni	Temeni	Temeni	Temeni	Temeni	Temeni	Temeni	100	100	100	100	100	100	100
תִּיצִי	H8491	tîṣiy	Tizite	inhabitant of Tiz	PN	group	013011045	Tizite	Tizite	Tizite	Hittite	Tizite	Tizite	Tizite	100	100	100	100	100	100	100
תִּירְיָא	H8493	tîrǝyāʾ	Tiria	son of Jehallelel; tribe of Judah	PN	person	013004016	Tiria	Tiria	Tiria	Tiria	Tiri-a	Tiria	Tiria	100	100	100	100	100	100	100
תִּירָס	H8494	tîrās	Tiras	son of Japheth	PN	person	001010002 013001005	Tiras	Tiras	Tiras	Tiraswere	Tiras	Tiras	Tiras	100	100	100	100	100	100	100
תַּיִשׁ	H8495	tayiš	male goat	male goat	FA	mammals	001030035 001032014 014017011 020030031	male goats	male goats	male goats	male goats	he-goats	male goats	he goats	50	50	50	25	50	50	50
תֻּכִּי	H8500	tukkiy	monkey	relatively small, long-tailed monkey; gray fur with a greenish or bluish tinge; mainly vegetarian, eating fruit and young leaves with occasional insects and spiders; spends most of its time in trees, but also forages for grass seeds and fallen fruit on the ground; Guenon; kept as pet; brought to Israel from Tarsis	FA	mammals; wild animals	011010022 014009021	Once	Once	Once	monkeys	Once	Once	once	50	50	100	100	50	50	100
תֹּכֶן	H8506	token	Tochen	location; territory of Simeon	PN	locale	013004032	Token	Token	Tochen	Tochen	Tochen	Tochen	Tochen	100	100	100	100	100	100	100
תֵּל אָבִיב	H8512	tēl ʾābîb	Tel-Abib	location; near river Chebar; Babylonia	PN	locale	026003015	Tel Aviv	Tel Abib	Tel-abib	Tel Abib	Tel-abib	Tel Abib	Tel-abib	100	100	100	100	100	100	100
תֵּל חַרְשָׁא	H8521	tēl ḥaršāʾ	Tel-Harsha	location	PN	locale	015002059 016007061	Tel Harsha	Tel Harsha	Tel-harsha	Tel Harsha	Tel-harsha	Tel Harsha	Tel-haresha	100	100	100	100	100	100	50
תֵּל מֶלַח	H8528	tēl melaḥ	Tel-Melah	location	PN	locale	015002059 016007061	Tel Melah	Tel Melah	Tel-melah	Tel Melah	Tel-melah	Tel Melah	Tel-melah	100	100	100	100	100	100	100
תְּלַאשָּׂר	H8515	tǝlaʾśśār	Telassar	land; conquered by king of Assyria	PN	area	012019012 023037012	Tel Assar	Tel Assar	Telassar	Telassar	Telassar	Telassar	Telassar	100	100	100	100	100	100	50
תִּלְגַּת פִּלְנְאֶסֶר	H8407	tilgat pilnǝʾeser	Tilgath-Pilneser	Tiglath-Pileser III; king of Assyria (744-727)	PN	person	013005006 013005026 014028020	Tiglath-Pileser	Tiglath-Pileser	Tiglath-pileser	Tiglath Pileser	Tilgath-pilneser	Tiglath-pileser	Tilgath-pilneser	100	100	100	67	100	100	100
תֶּלַח	H8520	telaḥ	Telah	son of Resheph; ancestor of Joshua; tribe of Ephraim	PN	person	013007025	Telah	Telah	Telah	Telah	Telah	Telah	Telah	100	100	100	100	100	100	100
תַּלְמַי-1	H8526	talmay-1	Talmai	giant; descendant of Anak	PN	person	004013022 006015014 007001010	Talmai	Talmai	Talmai	Talmai	Talmai	Talmai	Talmai	100	67	100	100	100	100	100
תַּלְמַי-2	H8526	talmay-2	Talmai	king of Geshur	PN	person	010003003 010013037 013003002	Talmai	Talmai	Talmai	Talmai	Talmai	Talmai	Talmai	100	100	100	100	100	100	100
תְּלַשָּׂר	H8515	tǝlaśśār	Telassar	land; conquered by king of Assyria	PN	area	012019012 023037012	Tel Assar	Tel Assar	Telassar	Telassar	Telassar	Telassar	Telassar	100	100	100	100	100	100	50
תַּמּוּז	H8542	tammûz	Tammuz	Mesopotamian deity	PN	supernatural beings and powers	026008014	Tammuz	Tammuz	Tammuz	Tammuz	Tammuz	Tammuz	Tammuz	100	100	100	100	100	100	100
תֶּמַח	H8547	temaḥ	Temah	head of a family of temple servants; after exile	PN	person	015002053 016007055	Temah	Temah	Temah	Temah	Temah	Temah	Tamah	100	100	100	100	100	100	50
תָּמִים	H8549	tāmîm	complete, blameless, right, peaceful; integrity	complete, blameless, right, peaceful; integrity	AT		001006009 001017001 002012005 002029001 003001003 003001010 003003001 003003006 003003009 003004003 003004023 003004028 003004032 003005015 003005018 003006006 003009002 003009003 003014010 003014010 003022019 003022021 003023012 003023015 003023018 003025030 004006014 004006014 004006014 004019002 004028003 004028009 004028011 004028019 004028031 004029002 004029008 004029013 004029017 004029020 004029023 004029026 004029029 004029032 004029036 005018013 005032004 006010013 006024014 007009016 007009019 009014041 010022024 010022026 010022031 010022033 018012004 018036004 018037016 019015002 019018023 019018025 019018030 019018032 019019007 019037018 019084011 019101002 019101006 019119001 019119080 020001012 020002021 020011005 020011020 020028010 020028018 026015005 026028015 026043022 026043023 026043023 026043025 026045018 026045023 026046004 026046004 026046006 026046006 026046013 030005010	blameless	blameless	blameless	right	blameless	blameless	upright	24	25	22	7	20	13	11
תמם	H8552	tmm	be complete, finished; show oneself blameless; complete, make perfect	be complete, consumed (qal); show oneself to be perfect (hith.); to terminate, complete (hiph.)	AT		001047015 001047018 001047018 003025029 003026020 004014033 004014035 004017013 004032013 005002014 005002015 005002016 005031024 005031030 005034008 006003016 006003017 006004001 006004010 006004011 006005006 006005008 006008024 006010020 009016011 010015024 010020018 010022026 011006022 011007022 012007013 012022004 018022003 018031040 019009006 019018025 019019013 019064006 019073019 019102027 019104035 023016004 023018005 023033001 024001003 024024010 024027008 024036023 024037021 024044012 024044012 024044018 024044027 025003022 025004022 026022015 026024010 026024011 026047012 027008023 027009024	completely	finished	finished	in the	finished	finished	in the	8	7	20	20	17	12	29
תִּמְנָה-1	H8553	timnāh-1	Timnah	town; territory of Judah	PN	settlement	001038012 001038013 001038014 006015057	Timnah	Timnah	Timnah	Timnah	Timnah	Timnah	Timnath	75	75	100	100	100	100	75
תִּמְנָה-2	H8553	timnāh-2	Timnah	town; territory of Dan	PN	settlement	006015010 006019043 007014001 007014001 007014002 007014005 007014005 014028018	Timnah	Timnah	Timnah	Timnah	Timnah	Timnah	Timnah	100	100	100	100	100	100	33
תִּמְנִי	H8554	timniy	Timnah	inhabitant of Timnah	PN	group	007015006	Timnites	Timnites	Timnite	Timnah	Timnite	Timnite	Timnite	100	100	100	100	100	100	100
תִּמְנָע-1	H8555	timnāʿ-1	Timna	concubine of Eliphaz, son of Esau	PN	person	001036012	Timna	Timna	Timna	Timna	Timna	Timna	Timna	100	100	100	100	100	100	100
תִּמְנָע-2	H8555	timnāʿ-2	Timna	sister of Lotan, son of Seir	PN	person	001036022 013001039	Timna	Timna	Timna	Timna	Timna	Timna	Timna	100	100	100	100	100	100	100
תִּמְנָע-3	H8555	timnāʿ-3	Timna	son of Eliphaz, son of Esau	PN	person	013001036	Timna	Timna	Timna	Timna	Timna	Timna	Timna	100	100	100	100	100	100	100
תִּמְנָע-4	H8555	timnāʿ-4	Timna	chief of Edom	PN	person	001036040 013001051	Timna	Timna	Timna	Timna	Timna	Timna	Timnah	100	100	100	100	100	100	100
תִּמְנַת חֶרֶס	H8556a	timnat ḥeres	Timnath-Herec	town; territory of Ephraim	PN	settlement	007002009	Timnath Heres	Timnath Heres	Timnath-heres	Timnath Serah	Timnath-heres	Timnath Heres	Timnath-heres	100	100	100	100	100	100	100
תִּמְנַת סֶרַח	H8556b	timnat seraḥ	Timnath-Serah	town; territory of Ephraim	PN	settlement	006019050 006024030	Timnath Serah	Timnath Serah	Timnath-serah	Timnath Serah	Timnath-serah	Timnath Serah	Timnath-serah	50	50	100	100	100	100	100
תָּמָר-1	H8558	tāmār-1	date palm	flowering plant species in the palm family Arecaceae; grows to 10-20 m tall; cluster of large leaves at top; Phoenix dactylifera - date palm; cultivated for its edible sweet fruit, about the size of a human thumb; symbol of elegance and grace; palm branch is symbol of peace and also victory	FL	trees	002015027 003023040 004033009 016008015 019092012 022007007 022007008 029001012	the palm	the palm	the palm	seventy palm	the palm	a palm	the palm	38	38	25	25	25	25	38
תָּמָר-2	H8559	tāmār-2	Tamar	wife of Er, son of Judah; mother of Perez and Zerah	PN	person	001038006 001038011 001038011 001038013 001038024 008004012 013002004	Tamar	Tamar	Tamar	Tamar	Tamar	Tamar	Tamar	100	100	100	100	100	100	100
תָּמָר-3	H8559	tāmār-3	Tamar	daughter of David	PN	person	010013001 010013002 010013004 010013005 010013006 010013007 010013008 010013010 010013010 010013019 010013020 010013022 010013032 013003009	Tamar	Tamar	Tamar	Tamar	Tamar	Tamar	Tamar	100	100	100	69	100	100	100
תָּמָר-4	H8559	tāmār-4	Tamar	daughter of Absalom	PN	person	010014027	Tamar	Tamar	Tamar	Tamar	Tamar	Tamar	Tamar	100	100	100	100	100	100	100
